no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_132,867.6374466,0.743715561,23.21242968,969.9003388,10478.1,2.205946285,25.26891626,32.1562382,-13.60960061,31.42842293,42.09315491,22.06464005,11
element_133,860.6227922,0.560228546,23.14984053,946.9160389,63640.3,2.870282004,25.73623849,32.11067399,-12.80419014,26.83699989,42.95497513,26.85130501,11
element_134,1007.796911,0.637951607,22.62658051,678.2241536,539540.7,2.174568661,24.01531966,26.16018163,-17.85748079,29.52177429,47.61891174,20.61077499,8
element_135,1142.980989,0.520056419,21.66986069,588.5798603,43487.7,2.226527273,22.37782385,28.25523132,-19.18052355,19.23256302,68.92849731,11.12673092,8
element_136,1117.527557,1.30785914,21.77566073,1051.032355,6263.8,2.324441005,24.5518593,31.63864316,-12.08064799,25.96264839,45.35798645,25.32212067,8
element_137,643.1214275,0.318338381,23.37261669,945.904359,41590.8,3.209265649,28.62716945,32.25193459,-12.22191501,28.97163391,36.43894196,31.66828728,11
element_138,1050.440608,0.578390615,22.11856108,898.2299391,4621.9,2.353396488,23.18937899,32.9957728,-12.33083233,27.76267815,46.89731216,21.13078308,8
element_139,998.7786201,1.019631877,21.56540817,1009.641191,34244.1,2.412282868,26.22886719,32.76292383,-11.03114913,27.7999649,44.69920731,22.99113274,8
element_140,951.7121045,0.088967394,23.32636447,589.6167423,155286.3,4.802148142,26.28403822,24.1786994,-17.94709005,13.74718189,74.71537781,10.36229229,8
element_141,1056.41384,0.196694719,22.81808437,788.5981816,362355.2,3.686736627,24.67724213,24.09474069,-16.27183142,17.52374649,63.83512878,16.87406731,8
element_142,1174.466383,0.32613104,21.59744424,1054.675381,10522.4,3.010256198,22.89664367,25.82244684,-13.98077316,25.59314728,57.55622482,14.78848934,8
element_143,1167.619868,0.382124406,21.72349211,958.8985068,82089,2.648351256,23.6225883,26.49859048,-14.77117737,31.22927856,47.01203156,18.96590996,8
element_144,1189.911762,0.377279748,21.50984637,1007.992232,55329.1,2.67696429,23.17335598,26.82107589,-14.40364116,31.37103081,45.45965576,20.43915367,8
element_145,1262.863962,0.419314353,21.03815206,1153.164205,24667.5,2.463169435,23.57424611,26.49886616,-13.03048229,37.80968094,41.45059586,18.19416428,8
element_146,1166.877741,0.221092494,21.55107987,985.6548246,13507.8,3.77306589,23.00593007,27.84555441,-14.33304018,30.08382416,44.04099274,22.91893387,8
element_147,1157.626254,0.223431243,21.55158459,1041.840413,37134.6,3.701979626,22.62476276,27.27897384,-14.11584425,29.55111313,41.43522263,25.72469711,8
element_148,998.3472289,0.046117098,23.07970673,597.3052157,120689,5.196037885,28.7179655,23.12466524,-17.59542394,10.3286972,77.91792297,11.2294445,8
element_149,1002.33468,0.034189063,22.96590526,564.9787422,21239.8,5.597445816,30.75454296,22.3893833,-18.19257076,8.539360046,82.47969055,8.838747978,8
element_150,1219.42863,0.346655709,20.93659005,1179.033313,9436.4,2.795066994,22.91227329,27.22060578,-13.20829594,38.72750092,39.04999924,19.39593697,8
element_151,1251.023185,0.365892555,20.95097527,1209.008724,24928.6,2.743727272,23.79131697,27.92026868,-12.92280909,39.81538773,38.6375885,19.14248848,8
element_152,1105.335119,0.101679724,22.48822706,721.1741893,38279.8,4.310949802,27.0057256,20.90904086,-16.77373418,9.641391754,79.91603088,8.962913513,8
element_153,1076.381056,0.110041555,22.51356042,788.2408773,69466.1,4.607625854,26.2786794,21.71300887,-16.26643278,9.688406944,78.76664734,10.19166279,8
element_154,1119.948763,0.322081172,22.51260371,1076.82817,42104.9,3.795248095,23.76093496,21.68979113,-14.4107619,9.448728561,80.9471283,8.325966835,8
element_155,1129.047819,0.16415938,22.58409622,911.1065781,238372.7,3.94047237,24.08459739,24.36559807,-14.88530304,13.88184643,68.59824371,16.38428307,8
element_156,1049.152427,0.14393258,22.78205128,1055.870833,166347,3.224418497,23.33778331,23.27484103,-14.25176891,18.25,59.09375,20.11458397,8
element_157,1243.186806,0.668033514,21.99824543,1260.428159,47045.2,2.545722963,22.25224905,20.61207523,-13.03126247,8.868423462,84.72382355,5.598868847,8
element_158,1136.818911,0.312948003,22.43305392,1211.192919,93799.3,3.294024872,23.85947722,22.83884921,-12.9430552,12.87959576,74.14953613,11.22834969,8
element_159,1232.047964,0.407333318,21.61092445,1170.201927,72293.7,2.558503556,23.00690548,24.77895549,-12.95130498,25.43509102,59.01171112,13.83808708,8
element_160,1200.227297,0.60670933,22.18275329,1041.448534,29598.5,2.206699977,23.49569469,20.64254385,-14.61519927,6.473752975,90.53837585,2.526006699,8
element_161,1181.761176,0.289185641,21.8473118,910.5275734,7854,2.994243847,26.82414798,20.44702026,-15.28249635,5.040184975,89.75537109,4.279902935,8
element_162,1301.194852,0.995080538,21.82677704,1138.827721,9731.2,1.381071328,20.758129,19.78339835,-13.85593006,6.796555996,90.93814087,2.063211918,8
element_163,1285.592424,0.800062652,21.77176549,1114.689843,10114.9,1.924851696,22.80835185,19.58668304,-14.29176736,6.671590805,90.70658875,2.336919308,8
