Filename,660448838.4,eps_PPT,eps_PET,eps_n,dRPPT,dRPET,dRCC,dRn,dR,pPPT,pPET,pCC,pn,hisR,dis_n,v_4_LAI,v_4_PPT,v_4_AET,v_4_R,v_7_LAI,v_7_PPT,v_7_AET,v_7_R,v_10_LAI,v_10_PPT,v_10_AET,v_10_R,r_4_LAI,r_4_PPT,r_4_AET,r_4_R,r_7_LAI,r_7_PPT,r_7_AET,r_7_R,r_10_LAI,r_10_PPT,r_10_AET,r_10_R,tree_4,tree_7,tree_10,v_tree_4,v_tree_7,v_tree_10
element_4280,14445.4,2.421800498,-1.421800498,-2.797456444,-6.433031727,-23.18633535,-29.61936707,0.935603921,-28.68376315,22.42743287,80.83435644,103.2617893,-3.261789311,87.84583648,-0.007681157,0.256277024,23.25129834,30.63481868,-7.383520351,0.208330404,16.59198538,32.91173125,-16.31974586,0.073002071,-19.73203132,7.515912877,-27.2479442,16.97307297,2.839858807,4.191368386,-8.405088559,13.79759717,2.026506009,4.50288906,-18.57771127,4.834883164,-2.410023823,1.028305731,-31.01791194,13.33094593,13.80137489,12.24134498,2.567508876,3.037937834,1.477907925
element_4281,5462.8,2.429300162,-1.429300162,-2.839200197,-7.33803597,-23.28559651,-30.62363248,2.118005353,-28.50562713,25.74241197,81.68771873,107.4301307,-7.430130702,84.45823621,-0.017622397,0.295202949,22.67448935,25.351835,-2.677345657,0.208759621,10.9861899,26.73374702,-15.74755711,0.099415969,-22.24215141,3.93910788,-26.18125929,20.22514763,2.796512445,3.490282248,-3.17002317,14.30268286,1.35495959,3.680535261,-18.64537767,6.811255312,-2.743190916,0.542311762,-30.99905996,11.13808754,11.33245542,10.33678995,2.374635664,2.569003544,1.57333808
element_4282,7153,2.431557073,-1.431557073,-2.749613746,-10.24770823,-25.44300696,-35.69071519,5.081806244,-30.60890895,33.47949528,83.12288101,116.6023763,-16.6023763,93.02149496,-0.040627263,0.241472296,24.25135409,30.1818107,-5.930456615,0.170419821,11.98645126,26.8854569,-14.89900563,0.047392787,-37.30967296,-7.955971817,-29.35370115,14.42981696,2.836238255,3.960701261,-6.375361541,10.18388803,1.401836429,3.52812706,-16.01673424,2.83208161,-4.363431474,-1.044046956,-31.55582606,11.38460944,11.48706159,10.62463117,1.918309291,2.020761438,1.15833102
element_4283,475503.2,2.434207151,-1.434207151,-2.775502265,-9.94163999,-25.6440258,-35.58566579,1.455056156,-34.13060964,29.12822272,75.1349773,104.2632,-4.263200018,94.15644471,-0.011571987,0.267018079,25.13813817,34.0306024,-8.892464227,0.189625668,12.2042547,30.46128301,-18.25702832,0.073387177,-37.69700301,-4.522886787,-33.17411623,16.99530697,2.986551473,4.552255507,-9.444350044,12.06939412,1.449933746,4.074789559,-19.3900995,4.670985592,-4.478614889,-0.60502415,-35.23297458,11.25629563,11.32368712,10.48540149,1.969313869,2.036705354,1.198419727
element_4284,435628,3.183545381,-2.183545381,-3.885790008,-1.730848258,-11.03062391,-12.76147217,0.516643043,-12.24482913,14.13534023,90.083935,104.2192752,-4.219275232,27.54306367,-0.014706797,0.276465132,26.48638221,30.90081194,-4.41442972,0.255292334,25.18700687,33.15487261,-7.967865727,0.194707333,-26.1071656,-13.63202679,-12.4751388,23.45068521,3.541103047,4.28923711,-16.02737362,21.65473858,3.367382758,4.602115642,-28.92875616,16.51571876,-3.490403593,-1.892215497,-45.2932141,14.79380372,15.58454113,15.07030845,2.77978834,3.570525754,3.056293074
element_4285,33045.1,2.380540871,-1.380540871,-2.526201833,-2.397718073,-26.12442435,-28.52214242,6.918954392,-21.60318803,11.0989085,120.9285607,132.0274692,-32.0274692,94.12658435,-0.05077914,0.292185141,45.09996373,35.27983649,9.820127246,0.341049501,57.0187852,54.98432223,2.034462975,0.303765332,-30.74977432,-3.68028673,-27.06948758,24.10845049,5.713771083,5.074819865,10.4328945,28.14029143,7.223781553,7.909207027,2.161411666,25.0639422,-3.895727552,-0.529389988,-28.75859967,20.30198495,21.15655786,20.78742165,3.277368618,4.131941526,3.762805316
element_4286,368156.9,3.297425241,-2.297425241,-4.198994332,-0.038226271,-6.67055804,-6.708784311,0.852456905,-5.856327406,0.652734533,113.9034343,114.5561688,-14.55616884,15.6406568,-0.03661847,0.165814625,20.39537309,20.86014253,-0.464769416,0.203829761,29.00680079,31.72457506,-2.717774249,0.130338713,-23.77500911,-16.60922509,-7.165784006,16.29426629,3.139659922,3.290430795,-2.971546665,20.02993645,4.465301492,5.004161338,-17.37634348,12.80812054,-3.659920459,-2.619900878,-45.81510928,17.57339099,18.23409816,16.98403686,3.373115171,4.03382234,2.783761045
element_4287,62759,2.67878102,-1.67878102,-3.211023247,1.123696552,-13.13921098,-12.01551443,12.34932325,0.333808826,336.6287725,-3936.148469,-3599.519697,3699.519697,32.22937566,-0.19749856,0.190434182,32.56605834,19.99320492,12.57285342,0.242311636,40.99405251,34.45403508,6.540017421,0.223286396,-20.32995072,-15.11299649,-5.216954239,20.16610001,4.960611856,3.20268736,39.0105398,25.65968275,6.244402708,5.519150285,20.29210088,23.64499768,-3.096751641,-2.420932662,-16.18695408,16.76661157,17.42142617,17.27470951,3.301191531,3.956006128,3.809289469
element_4288,115566.4,2.538550701,-1.538550701,-3.38232391,-1.499009482,-7.47138598,-8.970395462,2.439965655,-6.530429806,22.95422394,114.4087939,137.3630179,-37.36301787,28.46007495,-0.04787713,0.048168301,-19.2410548,-15.81806071,-3.422994102,0.149183329,-6.10076428,-1.73630643,-4.364457841,0.185386868,-25.40965866,-16.8750921,-8.534566548,6.682014575,-3.847031951,-3.353464076,-12.02735449,20.6950453,-1.219779028,-0.368100828,-15.33537016,25.7172813,-5.080374738,-3.577557083,-29.9878569,13.74703056,13.98059178,13.58691842,2.70373753,2.937298752,2.543625399
element_4289,221054.7,2.592614228,-1.592614228,-3.294172755,0.991347456,-9.213926019,-8.222578563,5.997863494,-2.224715069,-44.56064824,414.1620716,369.6014234,-269.6014234,28.01795645,-0.105617893,0.120128214,23.91118932,16.13124913,7.779940166,0.212927808,30.6663672,26.68271231,3.983654885,0.202730637,-21.14412692,-15.10233166,-6.041795272,17.24872232,4.403265758,3.132189451,27.76769312,30.57343898,5.647237483,5.18095712,14.21822071,29.10926866,-3.893708873,-2.932405515,-21.56401122,13.96821235,14.42664644,14.23824375,2.584051024,3.042485119,2.85408242
element_429,429898.9,3.130202007,-2.130202007,-6.992526734,0.223845586,-0.079733874,0.144111712,-0.045491759,0.098619953,226.9779882,-80.84963658,146.1283516,-46.12835159,0.163068817,0.061743827,0.016423247,41.37481767,41.32692734,0.047890344,0.041474055,56.47783214,56.35925257,0.118579568,0.060544434,67.50497502,67.40539551,0.099579517,10.62770745,26.35254041,26.34940506,29.36817996,26.8384275,35.97198581,35.93378144,72.71750072,39.17913009,42.99541805,42.9766301,61.06594671,2.295237998,5.390284778,8.264959905,1.309360018,4.404406799,7.279081925
element_4290,114758.4,2.441183739,-1.441183739,-2.981191014,-2.14440163,-9.321644361,-11.46604599,1.21678016,-10.24926583,20.92249011,90.94938618,111.8718763,-11.87187629,39.6787485,-0.01947333,0.050419199,-8.877880643,-3.95853036,-4.919350275,0.13758077,-12.01871007,-3.62139889,-8.397311179,0.188666655,-22.75258527,-10.05559159,-12.69699366,7.138767888,-1.913447316,-0.932967982,-12.39794716,19.47982536,-2.590389469,-0.853511002,-21.16324606,26.71298819,-4.903858811,-2.36995656,-31.99948119,19.03703276,18.80142332,18.58759447,2.037918845,1.802309403,1.58848055
