no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_4640,2016,255.0498439,6.305602128,119.9654043,274.0681076,221.425003,18.99238116,2.24E-06,-346.1216056,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9515446,170.8067592,103.2613484
element_4640,2017,255.4297299,6.334354639,120.6450601,281.6800991,235.0477375,18.99238426,2.79E-06,339.9021244,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.0828052,182.9124368,98.76766226
element_4640,2018,254.8226404,6.361914382,121.7791647,237.7224381,219.7423342,18.99206872,2.61E-06,-47.65061676,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9064641,158.654625,79.06781314
element_4640,2019,255.6311709,6.358294584,120.5531668,298.5698376,235.4118357,18.99151648,2.39E-06,422.2514308,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.096272,187.7032926,110.866545
element_4640,2020,255.1961047,6.456801884,121.0980704,267.8143647,229.0150585,18.99244893,2.42E-06,97.9114947,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9694859,173.1384048,94.67595988
element_4640,2021,255.8147913,6.25274029,122.0576622,282.521947,237.9333547,18.9924844,3.31E-06,-321.34478,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9064641,178.9839889,103.5379581
element_4640,2022,255.1758389,6.41741674,120.0562348,226.1557686,229.7242771,18.99285508,2.82E-06,658.212485,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.1101093,164.1036919,62.0520767
element_4640,2023,255.7610674,6.282273621,118.7244703,275.6833496,239.713682,18.99226079,2.55E-06,-173.5766014,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9591404,179.6077946,96.07555502
element_4640,2024,255.8175562,6.418788037,121.0991139,289.5020395,241.4750766,18.99341014,2.93E-06,213.2984621,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.1119752,188.7893182,100.7127213
element_4640,2025,255.8135211,6.258142523,119.1544924,276.4552094,240.5969397,18.99666009,2.71E-06,132.8092797,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9728962,180.6400232,95.81518618
element_4640,2026,255.8353697,6.250223083,118.7292963,272.6301033,238.2714192,18.9940097,2.73E-06,-315.8496972,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9591404,178.1330289,94.49707441
element_4640,2027,256.1847857,6.330304938,120.0604451,231.1441792,247.6477967,18.99311327,2.70E-06,998.675532,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.084834,171.3682946,59.77588464
element_4640,2028,255.859253,6.349362538,118.2720169,282.8301337,237.0136661,18.99326748,2.74E-06,-516.0244036,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9635214,180.5201078,102.3100259
element_4640,2029,255.8541073,6.27268869,118.9501224,293.9246713,244.6384844,18.99355485,3.01E-06,-10.26980944,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9591404,186.7078423,107.216829
element_4640,2030,256.0484538,6.244877395,119.0504026,291.6888065,247.7021637,18.99299217,3.04E-06,584.876373,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.1204848,192.4870263,99.20178018
element_4640,2031,255.5360765,6.398110853,119.6560843,259.006304,237.1105956,18.99335459,3.22E-06,535.7603376,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.1071148,177.9819429,81.02436111
element_4640,2032,255.3847775,6.351827803,117.7866409,275.5265759,233.4854823,18.99298951,2.78E-06,-196.5086713,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9684371,177.1605145,98.36606137
