no,date,R,PPT,PET,tas,AET,LON,LAT,AREA,ELE,SLP,RIVER,CLAY,SAND,SILT,CTI,SW,SPEED,LAI,SRAD,CO2,Cluster,n
BR_0000086,1998,1432.27,2180.62,1130.53,24.39529839,992.1718018,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,120.0845596,1.355973005,4.781561426,164.2269897,1760.300537,7,1.9155681030826572
BR_0000086,1999,1410.29,2206.64,1123.17,24.39529839,986.6020508,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,120.1863037,1.348783016,4.790300977,163.1526031,1834.014307,7,1.8939556942137223
BR_0000086,2000,1450.4,2290.96,1114.45,24.39529839,987.1472778,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,122.3566238,1.363216877,4.808275879,161.7227997,1885.49624,7,1.885559752657498
BR_0000086,2001,1437.08,2296.5,1109.85,24.39529839,980.8700562,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,122.6915756,1.332763672,4.815239063,160.4708588,1903.526904,7,1.8607532739069896
BR_0000086,2002,1462.21,2340.62,1103.98,24.39529839,974.0456055,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,123.2691086,1.355329275,4.820778906,159.3983673,1913.815991,7,1.8163579085714858
BR_0000086,2003,1508.18,2361.95,1088.25,24.39529839,965.7432983,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,124.6906326,1.390435815,4.824577832,156.8425385,1919.272192,7,1.8237587755837739
BR_0000086,2004,1482.11,2322.4,1085.91,24.39529839,959.5498535,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,124.0187073,1.413363814,4.833219434,156.2683136,1958.969824,7,1.8147362104307205
BR_0000086,2005,1456.01,2276.95,1088.42,24.39529839,950.5277466,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,121.2136215,1.464722157,4.838514453,156.4592743,2002.544238,7,1.7695101403671005
BR_0000086,2006,1458.46,2319.76,1094.27,24.39529839,957.801123,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,120.6454147,1.4756037,4.833943652,157.6194366,2062.138062,7,1.7662264152783493
BR_0000086,2007,1437.56,2288.42,1093.63,24.39529839,952.7768921,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,120.3437424,1.456516504,4.841382617,157.6217377,2140.419189,7,1.7547673304354197
