no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_1009,2025,291.5773612,4.071024198,239.4811388,127.7735959,1832.657887,9.159392987,0.188918475,2249.025272,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3527795,125.2595322,2.514063687
element_1009,2026,291.4687609,4.099055504,239.8713871,143.4561909,1844.328858,9.143336688,0.250347269,1635.302601,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3524766,140.192068,3.264122864
element_1009,2027,291.7802225,4.122291248,238.9219395,139.4454403,1872.08058,9.096847379,0.233737223,1112.168495,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3415368,136.3394888,3.105951548
element_1009,2028,291.5508237,3.994495891,241.9657631,136.1719991,1852.226953,9.104902989,0.144499053,1391.138424,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2639191,132.3218898,3.850109281
element_1009,2029,291.7626322,4.084592827,241.2299957,104.252279,1832.041705,9.061310113,0.13578353,1578.796385,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2781605,102.2078122,2.044466823
element_1009,2030,291.7792115,4.18995591,240.6168238,133.9282169,1820.750744,9.047389328,0.162606501,1360.235487,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2771997,130.3017809,3.626436031
element_1009,2031,291.7527474,4.196583592,238.1646087,142.8381807,1855.549401,9.114622578,0.211606599,1798.761967,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3393124,139.4929946,3.345186093
element_1009,2032,292.2391565,4.036868227,239.5640015,129.7998738,1876.895836,9.085767414,0.186584163,2419.404236,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3538091,127.2818771,2.517996691
element_1009,2033,292.0745845,4.034321785,240.7557171,145.8623009,1884.314006,9.075807717,0.18320219,1005.067799,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2869345,141.7861787,4.076122151
element_1009,2034,292.3915875,4.0608471,241.7906304,155.2608799,1886.637674,9.061823966,0.184232562,1663.185516,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2973441,150.7309567,4.529923187
element_1009,2035,292.2904149,4.045341922,240.3659056,127.13045,1885.437012,9.044180437,0.175055424,1597.842092,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.304295,124.3113814,2.819068608
element_1009,2036,292.241307,4.019616981,242.2857327,137.0873925,1929.209684,9.034625488,0.146441823,2647.426346,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2763891,133.521277,3.566115465
element_1009,2037,292.4808478,4.051370037,239.8363944,147.5324444,1889.893003,9.056475392,0.145980992,1657.541613,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2985169,143.5192213,4.013223116
element_1009,2038,292.198786,4.032958372,241.3456577,161.78922,1825.075747,9.075467473,0.155269386,979.6161643,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.264013,156.0447436,5.744476384
element_1009,2039,292.0190597,4.10745949,240.3665596,149.141927,1851.326505,9.105479628,0.129169594,1457.905599,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2841557,144.722802,4.419124993
element_1009,2040,292.3487793,4.068044829,239.655598,141.6235144,1909.189718,9.139603206,0.160312978,1397.765177,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2849194,137.8456641,3.777850251
element_1009,2041,292.4668812,4.136396505,238.7511623,152.1019017,1913.93484,9.091821731,0.128258857,2050.440839,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3003753,147.8955617,4.206340032
element_1009,2042,292.7943586,4.08409457,238.6907579,138.0806355,1922.142002,9.081701977,0.204295053,1134.05966,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3262691,134.9954015,3.085234037
element_1009,2043,292.8181024,4.05272992,241.9633886,138.3529479,1934.749445,9.089515699,0.238801172,1196.47079,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.321013,135.2257797,3.127168161
element_1009,2044,292.6462659,4.059045055,239.884273,143.6120343,1882.741862,9.042165494,0.195614665,1245.581946,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3313428,140.2015434,3.410490949
element_1009,2045,292.747082,4.007603621,239.6659109,172.9178906,1875.15441,9.092266448,0.225830689,1695.04987,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3466953,167.9118703,5.006020336
