no,ELE,SLP,TMP,PPT,AREA,LON,LAT,Cluster
CA_0001699,71.56714578,0.368889751,3.875854771,1128.457265,67.3978,-55.05199814,49.21607971,1
CA_0001710,166.4371601,0.773209784,4.36445875,1205.631282,87.2992,-54.91688919,49.01128006,1
CA_0001713,75.31,0.26,4.68,1063.37,399,-54.10694122,49.39305878,12
CA_0001714,74.96,0.32,4.73,1061.93,554,-53.88566971,49.04217148,12
CA_0001718,101.76,1.07,4.79,1157.64,36.70000076,-53.97888947,48.60771942,12
CA_0001720,186.1815636,0.589099598,4.461135308,1284.914757,1858.696,-54.01525116,48.66275024,1
CA_0001721,185.5664997,0.392068838,4.454751259,1306.53742,764.6756,-54.20042038,48.39699936,1
CA_0001725,306.29,1.2,2.24,1628.84,205,-59.00978088,47.61333084,1
CA_0001727,389.38,1.26,2.2,1611.23,230,-57.73318863,47.8560791,1
CA_0001734,231.96,0.42,4.3,1528.5,99.5,-55.48281097,48.16875076,1
CA_0001739,81.01,0.56,5.26,1428.77,115,-55.77619171,46.87781143,12
CA_0001744,79.77,0.39,4.85,1285.35,67.40000153,-53.67393875,48.38066864,12
CA_0001746,162.1,0.93,4.51,1264.11,106,-54.04964066,48.22016907,1
CA_0001749,134.55,1.33,5.27,1410.62,37.20000076,-54.03892136,47.18130875,12
CA_0001750,160.92,0.42,5.27,1498.22,104,-53.73178101,47.12182999,12
CA_0001755,86.97,0.67,5.37,1441.69,28.89999962,-53.30807877,47.58306122,12
CA_0001756,131.3,0.51,5.37,1371.17,11.19999981,-53.08211136,48.04278183,12
CA_0001759,198.07,0.55,5.28,1527.45,112,-52.88888931,47.24943924,12
CA_0001767,214.68,1.13,5.26,1493.06,17.29999924,-53.11722183,47.35467148,12
CA_0001771,157.7584679,0.771592,5.327136828,1483.528205,19.7487,-52.74847031,47.56425095,12
CA_0001773,164.8454298,0.769054552,5.313889051,1499.299145,39.46168,-52.80064011,47.42016983,12
CA_0001777,159.54,0.24,5.08,1585.47,15.5,-53.48558044,46.70988846,12
CA_0001785,356.36,0.24,1.36,975.44,22200,-77.61444092,49.75305939,1
CA_0001799,347.3,0.34,-0.32,914.08,9820,-76.38777924,50.74583054,1
