Area,LAT,CTI,Slope,Elevation,River,LAI,Speed,Srad,SW,Clay,Silt,Sand,CO2,n
166.1801,47.5729,0.921276177,4.035037674,1161.65512,28.58870739,1.691322192,2.383472204,129.1259705,23.64416771,20.36666679,33.12380981,41.32916641,8119.425488,3.838864095
166.1801,47.5729,0.921276177,4.035037674,1161.65512,28.58870739,1.669711011,2.464444399,130.6227097,23.4422924,20.36666679,33.12380981,41.32916641,8269.600586,2.916222839
166.1801,47.5729,0.921276177,4.035037674,1161.65512,28.58870739,1.670399341,2.560659647,130.5597946,23.24118118,20.36666679,33.12380981,41.32916641,8395.294141,2.838095116
166.1801,47.5729,0.921276177,4.035037674,1161.65512,28.58870739,1.669460449,2.510833263,132.142572,22.99812546,20.36666679,33.12380981,41.32916641,8508.015039,2.678555487
134.5782,47.4187,2.322023141,7.781612094,1577.858643,21.34011341,1.52425835,2.915500164,138.4264954,24.98225021,12.9921875,26.60483932,57.8359375,33949.67188,4.079910877
134.5782,47.4187,2.322023141,7.781612094,1577.858643,21.34011341,1.53288125,3.010500431,138.2900848,25.4440834,12.9921875,26.60483932,57.8359375,33802.75703,4.339348561
134.5782,47.4187,2.322023141,7.781612094,1577.858643,21.34011341,1.542000024,2.948833466,138.3312531,25.3814167,12.9921875,26.60483932,57.8359375,34184.15313,3.882665093
134.5782,47.4187,2.322023141,7.781612094,1577.858643,21.34011341,1.533175024,3.024999857,139.4444214,25.20458374,12.9921875,26.60483932,57.8359375,34155.10938,3.311891834
134.5782,47.4187,2.322023141,7.781612094,1577.858643,21.34011341,1.520287524,3.1615417,139.706842,25.06733398,12.9921875,26.60483932,57.8359375,34253.78672,3.219249256
134.5782,47.4187,2.322023141,7.781612094,1577.858643,21.34011341,1.529950024,3.128708124,140.8528442,24.94433327,12.9921875,26.60483932,57.8359375,34260.00078,3.267610982
61.6433,47.1146,1.311447782,7.028748187,1945.692135,23.97680938,1.486665039,3.06906271,142.6466705,19.80666695,11.64999962,23.89999962,62.625,174607.6219,3.4212242
61.6433,47.1146,1.311447782,7.028748187,1945.692135,23.97680938,1.507305054,3.168124914,142.483963,20.54020882,11.64999962,23.89999962,62.625,168473.4813,4.048273417
61.6433,47.1146,1.311447782,7.028748187,1945.692135,23.97680938,1.509061743,3.083854198,142.6752136,20.81833382,11.64999962,23.89999962,62.625,165903.3219,3.506445493
61.6433,47.1146,1.311447782,7.028748187,1945.692135,23.97680938,1.499880078,3.172708035,143.6383362,20.68166695,11.64999962,23.89999962,62.625,161758.7656,3.346890478
61.6433,47.1146,1.311447782,7.028748187,1945.692135,23.97680938,1.508541724,3.322083235,144.1089569,20.61645851,11.64999962,23.89999962,62.625,160554.2656,3.296110328
61.6433,47.1146,1.311447782,7.028748187,1945.692135,23.97680938,1.517051709,3.279895782,145.0154144,20.39750061,11.64999962,23.89999962,62.625,159317.2969,3.352915409
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.842397192,2.354255676,135.2903015,26.16565514,17.25,29.71739197,48.65277863,14202.0252,4.314741956
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.852637427,2.448958158,135.1698853,26.28636971,17.25,29.71739197,48.65277863,14267.34219,4.163466481
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.864941113,2.397916794,135.1719086,26.0689888,17.25,29.71739197,48.65277863,14573.52227,3.865745694
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.841575415,2.469106913,136.3551208,25.70410767,17.25,29.71739197,48.65277863,14737.45566,3.197976244
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.829610156,2.599076986,136.5293457,25.44583435,17.25,29.71739197,48.65277863,14955.32559,3.067911249
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.833958276,2.571071386,137.7967896,25.33172836,17.25,29.71739197,48.65277863,15216.99121,3.106003708
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.811465234,2.618958712,136.530957,25.150597,17.25,29.71739197,48.65277863,15514.73008,2.987103299
141.525,47.5229,0.796076622,6.223019682,1268.667862,21.69521752,1.793893066,2.469226122,135.0073273,25.31184654,17.25,29.71739197,48.65277863,15661.39844,3.024324647
